WARNING: 

To increase the performance of the tunnel, consider installing NumPy. For instructions,
please see https://cloud.google.com/iap/docs/using-tcp-forwarding#increasing_the_tcp_upload_bandwidth

PING 202.96.209.133 (202.96.209.133) 56(84) bytes of data.
64 bytes from 202.96.209.133: icmp_seq=1 ttl=52 time=288 ms
64 bytes from 202.96.209.133: icmp_seq=2 ttl=52 time=297 ms
64 bytes from 202.96.209.133: icmp_seq=3 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=4 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=5 ttl=52 time=294 ms
64 bytes from 202.96.209.133: icmp_seq=6 ttl=52 time=289 ms
64 bytes from 202.96.209.133: icmp_seq=8 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=9 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=10 ttl=52 time=291 ms
64 bytes from 202.96.209.133: icmp_seq=11 ttl=52 time=290 ms
64 bytes from 202.96.209.133: icmp_seq=12 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=13 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=14 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=15 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=17 ttl=52 time=293 ms
64 bytes from 202.96.209.133: icmp_seq=18 ttl=52 time=288 ms
64 bytes from 202.96.209.133: icmp_seq=19 ttl=52 time=299 ms
64 bytes from 202.96.209.133: icmp_seq=20 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=21 ttl=52 time=295 ms
64 bytes from 202.96.209.133: icmp_seq=22 ttl=52 time=296 ms
64 bytes from 202.96.209.133: icmp_seq=23 ttl=52 time=288 ms
64 bytes from 202.96.209.133: icmp_seq=24 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=25 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=26 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=27 ttl=52 time=293 ms
64 bytes from 202.96.209.133: icmp_seq=28 ttl=52 time=292 ms
64 bytes from 202.96.209.133: icmp_seq=29 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=30 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=31 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=32 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=33 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=34 ttl=52 time=294 ms
64 bytes from 202.96.209.133: icmp_seq=35 ttl=52 time=289 ms
64 bytes from 202.96.209.133: icmp_seq=36 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=37 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=38 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=39 ttl=52 time=289 ms
64 bytes from 202.96.209.133: icmp_seq=40 ttl=52 time=291 ms
64 bytes from 202.96.209.133: icmp_seq=41 ttl=52 time=299 ms
64 bytes from 202.96.209.133: icmp_seq=42 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=43 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=44 ttl=52 time=290 ms
64 bytes from 202.96.209.133: icmp_seq=45 ttl=52 time=293 ms
64 bytes from 202.96.209.133: icmp_seq=46 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=47 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=48 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=49 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=50 ttl=52 time=297 ms
64 bytes from 202.96.209.133: icmp_seq=51 ttl=52 time=291 ms
64 bytes from 202.96.209.133: icmp_seq=52 ttl=52 time=294 ms
64 bytes from 202.96.209.133: icmp_seq=53 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=54 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=55 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=56 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=58 ttl=52 time=293 ms
64 bytes from 202.96.209.133: icmp_seq=59 ttl=52 time=292 ms
64 bytes from 202.96.209.133: icmp_seq=60 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=61 ttl=52 time=287 ms
64 bytes from 202.96.209.133: icmp_seq=62 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=63 ttl=52 time=289 ms
64 bytes from 202.96.209.133: icmp_seq=64 ttl=52 time=297 ms
64 bytes from 202.96.209.133: icmp_seq=65 ttl=52 time=297 ms
64 bytes from 202.96.209.133: icmp_seq=66 ttl=52 time=288 ms
64 bytes from 202.96.209.133: icmp_seq=67 ttl=52 time=298 ms
64 bytes from 202.96.209.133: icmp_seq=68 ttl=52 time=287 ms
